lat,lon
-87.17,41.39
-87.17,42.65
-87.17,43.9
-87.17,45.16
-87.17,46.41
-87.17,47.67
-87.17,48.92
-87.17,50.17
-87.17,51.43
-87.17,52.68
-87.17,53.94
-87.17,55.19
-87.17,56.45
-87.17,57.7
-87.17,58.95
-87.17,60.21
-87.17,61.46
-87.17,62.72
-87.17,63.97
-87.17,65.23
-87.17,66.48
-87.17,67.74
-87.17,68.99
-87.17,70.24
-87.17,71.5
-87.17,72.75
-87.17,74.01
-87.17,75.26
-87.17,76.52
-87.17,77.77
-87.17,79.02
-87.17,80.28
-87.17,81.53
-87.17,82.79
-87.17,84.04
-87.17,85.3
-87.17,86.55
-87.17,87.8
-87.17,89.06
-87.17,90.31
-87.17,91.57
-87.17,92.82
-87.17,94.08
-87.17,95.33
-87.17,96.59
-87.17,97.84
-87.17,99.09
-87.17,100.35
-87.17,101.6
-87.17,102.86
-87.17,104.11
-87.17,105.37
-87.17,106.62
-87.17,107.87
-87.17,109.13
-87.17,110.38
-87.17,111.64
-87.17,112.89
-87.17,114.15
-87.17,115.4
-87.17,116.66
-87.17,117.91
-87.17,119.16
-87.17,120.42
-87.17,121.67
-87.17,122.93
-87.17,124.18
-87.17,125.44
-87.17,126.69
-87.17,127.94
-87.17,129.2
-87.17,130.45
-87.17,131.71
-87.17,132.96
-87.17,134.22
-87.17,135.47
-87.17,136.72
-87.17,137.98
-87.17,139.23
-87.17,140.49
-87.17,141.74
-87.17,143.0
-87.17,144.25
-87.17,145.51
-87.17,146.76
-87.17,148.01
-87.17,149.27
-87.17,150.52
-87.17,151.78
-87.17,153.03
-87.17,154.29
-87.17,155.54
-87.17,156.79
-87.17,158.05
-87.17,159.3
-87.17,160.56
-87.17,161.81
-87.17,163.07
-87.17,164.32
-87.17,165.57
-87.17,166.83
-87.17,168.08
-87.17,169.34
-87.17,170.59
-87.17,171.85
-87.17,173.1
-87.17,174.36
-87.17,175.61
-87.17,176.86
-87.17,178.12
-87.17,179.37
-87.17,180.63
-87.17,181.88
-87.17,183.14
-87.17,184.39
-87.17,185.64
-87.17,186.9
-87.17,188.15
-87.17,189.41
-87.17,190.66
-87.17,191.92
-87.17,193.17
-87.17,194.43
-87.17,195.68
-87.17,196.93
-87.17,198.19
-87.17,199.44
-87.17,200.7
-87.17,201.95
-87.17,203.21
-87.17,204.46
-87.17,205.71
-87.17,206.97
-87.17,208.22
-87.17,209.48
-87.17,210.73
-87.17,211.99
-87.17,213.24
-87.17,214.49
-87.17,215.75
-87.17,217.0
-87.17,218.26
-87.17,219.51
-87.17,220.77
-87.17,222.02
-87.17,223.28
-87.17,224.53
-87.17,225.78
-87.17,227.04
-87.17,228.29
-87.17,229.55
-87.17,230.8
-87.17,232.06
-87.17,233.31
-87.17,234.56
-87.17,235.82
-87.17,237.07
-87.17,238.33
-87.17,239.58
-87.17,240.84
-87.17,242.09
-87.17,243.34
-87.17,244.6
-87.17,245.85
-87.17,247.11
-87.17,248.36
-87.17,249.62
-87.17,250.87
-87.17,252.13
-87.17,253.38
-87.17,254.63
-87.17,255.89
-87.17,257.14
-87.17,258.4
-87.17,259.65
-87.17,260.91
-87.17,262.16
-87.17,263.41
-87.17,264.67
-87.17,265.92
-87.17,267.18
-87.17,268.43
-87.17,269.69
-87.17,270.94
-87.17,272.2
-87.17,273.45
-87.17,274.7
-87.17,275.96
-87.17,277.21
-87.17,278.47
-87.17,279.72
-87.17,280.98
-87.17,282.23
-87.17,283.48
-87.17,284.74
-87.17,285.99
-87.17,287.25
-87.17,288.5
-87.17,289.76
-87.17,291.01
-87.17,292.26
-87.17,293.52
-87.17,294.77
-87.17,296.03
-87.17,297.28
-87.17,298.54
-87.17,299.79
-87.17,301.05
-87.17,302.3
-87.17,303.55
-87.17,304.81
-87.17,306.06
-87.17,307.32
-87.17,308.57
-87.17,309.83
-87.17,311.08
-87.17,312.33
-87.17,313.59
-87.17,314.84
-87.17,316.1
-87.17,317.35
-87.17,318.61
-87.17,319.86
-87.17,321.11
-87.17,322.37
-87.17,323.62
-87.17,324.88
-87.17,326.13
-87.17,327.39
-87.17,328.64
-87.17,329.9
-87.17,331.15
-87.17,332.4
-87.17,333.66
-87.17,334.91
-87.17,336.17
-87.17,337.42
-87.17,338.68
-87.17,339.93
-87.17,341.18
-87.17,342.44
-87.17,343.69
-87.17,344.95
-87.17,346.2
-87.17,347.46
-87.17,348.71
-87.17,349.97
-87.17,351.22
-87.17,352.47
-87.17,353.73
-87.17,354.98
-87.17,356.24
-87.17,357.49
-87.17,358.75
-87.17,360.0
-86.23,0.0
-86.23,1.25
-86.23,2.51
-86.23,3.76
-86.23,5.02
-86.23,6.27
-86.23,7.53
-86.23,8.78
-86.23,10.03
-86.23,11.29
-86.23,12.54
-86.23,13.8
-86.23,15.05
-86.23,16.31
-86.23,17.56
-86.23,18.82
-86.23,20.07
-86.23,21.32
-86.23,22.58
-86.23,23.83
-86.23,25.09
-86.23,26.34
-86.23,27.6
-86.23,28.85
-86.23,30.1
-86.23,31.36
-86.23,32.61
-86.23,33.87
-86.23,35.12
-86.23,36.38
-86.23,37.63
-86.23,38.89
-86.23,40.14
-86.23,41.39
-86.23,42.65
-86.23,43.9
-86.23,45.16
-86.23,46.41
-86.23,47.67
-86.23,48.92
-86.23,50.17
-86.23,51.43
-86.23,52.68
-86.23,53.94
-86.23,55.19
-86.23,56.45
-86.23,57.7
-86.23,58.95
-86.23,60.21
-86.23,61.46
-86.23,62.72
-86.23,63.97
-86.23,65.23
-86.23,66.48
-86.23,67.74
-86.23,68.99
-86.23,70.24
-86.23,71.5
-86.23,72.75
-86.23,74.01
-86.23,75.26
-86.23,76.52
-86.23,77.77
-86.23,79.02
-86.23,80.28
-86.23,81.53
-86.23,82.79
-86.23,84.04
-86.23,85.3
